Date,Open,High,Low,Close,Volume,Adj. Close*
14-Jan-70,68.75,68.75,68.00,68.00,9100,0.00
13-Jan-70,68.00,68.75,67.75,68.75,9200,0.00
12-Jan-70,68.62,68.62,68.00,68.00,12800,0.00
9-Jan-70,69.00,69.00,68.50,68.75,9800,0.00
8-Jan-70,69.62,70.00,69.12,69.37,9100,0.00
7-Jan-70,69.75,69.75,69.50,69.62,11600,0.00
6-Jan-70,70.75,71.00,70.00,70.00,14500,0.00
5-Jan-70,71.50,72.00,70.62,70.75,4100,0.00
2-Jan-70,71.50,72.25,71.50,71.50,3600,0.00
31-Dec-69,69.75,71.75,69.75,71.25,12800,0.00
30-Dec-69,68.50,69.50,68.50,69.50,14700,0.00
29-Dec-69,68.37,69.00,68.25,68.50,11100,0.00
26-Dec-69,68.25,68.75,68.25,68.37,9200,0.00
24-Dec-69,68.25,68.50,68.00,68.12,15300,0.00
23-Dec-69,68.50,68.50,68.00,68.25,10800,0.00
22-Dec-69,69.00,69.50,69.00,69.00,10000,0.00
19-Dec-69,68.50,68.87,68.00,68.37,19400,0.00
18-Dec-69,67.25,68.50,66.87,68.50,14100,0.00
17-Dec-69,67.00,67.87,66.75,67.25,12800,0.00
16-Dec-69,68.75,68.75,67.00,67.00,13700,0.00
15-Dec-69,69.37,69.62,68.50,69.00,10800,0.00
12-Dec-69,67.75,69.37,67.75,69.37,8700,0.00
11-Dec-69,67.00,67.87,67.00,67.50,10600,0.00
10-Dec-69,68.50,69.25,66.62,67.00,15300,0.00
9-Dec-69,68.50,68.87,68.12,68.50,13300,0.00
8-Dec-69,69.25,69.50,68.00,68.50,15200,0.00
5-Dec-69,69.75,70.12,69.00,69.25,23600,0.00
4-Dec-69,69.37,70.25,68.75,69.75,24700,0.00
3-Dec-69,69.75,70.00,69.25,69.37,11600,0.00
2-Dec-69,69.75,69.75,69.50,69.75,20300,0.00
1-Dec-69,70.25,70.75,68.62,70.00,13900,0.00
28-Nov-69,70.00,70.50,70.00,70.25,7500,0.00
26-Nov-69,67.87,69.50,67.87,69.50,27800,0.00
25-Nov-69,68.25,68.75,67.87,67.87,10200,0.00
24-Nov-69,68.87,68.87,68.00,68.25,8700,0.00
21-Nov-69,71.12,71.25,69.50,69.62,11200,0.00
20-Nov-69,72.75,73.25,71.12,71.12,10500,0.00
19-Nov-69,73.62,73.62,72.75,72.75,6600,0.00
18-Nov-69,73.25,73.75,73.12,73.75,3400,0.00
17-Nov-69,73.87,73.87,73.12,73.25,5600,0.00
14-Nov-69,73.75,74.25,73.50,73.87,12300,0.00
13-Nov-69,74.25,74.37,73.37,73.75,10900,0.00
12-Nov-69,74.75,74.75,74.25,74.25,10500,0.00
11-Nov-69,75.00,75.00,74.50,75.00,16400,0.00
10-Nov-69,73.75,75.50,73.75,75.00,10200,0.00
7-Nov-69,72.37,73.00,72.25,72.87,22700,0.00
6-Nov-69,72.50,72.50,72.12,72.37,8300,0.00
5-Nov-69,73.37,73.50,72.50,72.50,17800,0.00
4-Nov-69,73.75,73.75,73.00,73.37,11100,0.00
3-Nov-69,74.75,74.75,74.00,74.25,28400,0.00
31-Oct-69,74.50,75.00,74.37,74.75,11100,0.00
30-Oct-69,74.50,74.50,74.12,74.50,10600,0.00
29-Oct-69,75.12,75.25,74.62,74.75,16900,0.00
28-Oct-69,76.50,76.50,75.00,75.12,153800,0.00
27-Oct-69,75.25,76.50,75.25,76.50,14700,0.00
24-Oct-69,74.50,75.12,74.50,75.12,17800,0.00
23-Oct-69,74.62,74.62,74.00,74.50,20500,0.00
22-Oct-69,74.75,75.25,74.50,74.87,17000,0.00
21-Oct-69,74.50,74.87,74.12,74.75,11400,0.00
20-Oct-69,74.00,74.50,74.00,74.50,12000,0.00
17-Oct-69,74.25,74.50,74.00,74.00,13100,0.00
16-Oct-69,73.12,74.50,73.12,74.25,20600,0.00
15-Oct-69,72.50,73.00,72.50,73.00,23900,0.00
14-Oct-69,71.50,72.50,71.50,72.00,62700,0.00
13-Oct-69,68.50,70.12,68.25,70.00,33100,0.00
10-Oct-69,69.75,69.75,68.25,68.50,53100,0.00
9-Oct-69,69.75,69.75,68.75,69.75,7300,0.00
8-Oct-69,70.75,71.00,69.50,69.87,13100,0.00
7-Oct-69,70.75,71.50,70.75,70.75,8000,0.00
6-Oct-69,69.25,70.50,69.25,70.00,6100,0.00
3-Oct-69,68.25,69.00,68.25,68.87,10600,0.00
2-Oct-69,67.75,68.25,67.75,68.25,13400,0.00
1-Oct-69,68.62,68.62,67.00,67.25,75000,0.00
30-Sep-69,71.00,71.25,68.87,69.00,16600,0.00
29-Sep-69,72.37,72.37,71.00,71.00,14700,0.00
26-Sep-69,72.62,72.75,72.37,72.62,9200,0.00
25-Sep-69,73.12,73.12,72.62,72.62,9700,0.00
24-Sep-69,73.25,73.62,73.25,73.25,23000,0.00
23-Sep-69,73.25,73.37,72.87,73.25,10200,0.00
22-Sep-69,73.75,73.75,73.25,73.25,12800,0.00
19-Sep-69,76.00,76.00,73.87,74.00,26900,0.00
18-Sep-69,74.75,76.50,74.75,76.50,15000,0.00
17-Sep-69,74.00,74.37,74.00,74.25,4200,0.00
16-Sep-69,72.62,74.00,72.62,74.00,22000,0.00
15-Sep-69,71.50,72.62,71.50,72.62,7200,0.00
12-Sep-69,70.75,71.50,70.62,71.25,13600,0.00
11-Sep-69,70.25,71.00,70.25,70.75,8600,0.00
10-Sep-69,68.87,69.75,68.87,69.75,6100,0.00
9-Sep-69,69.00,69.00,68.75,68.75,10200,0.00
8-Sep-69,69.00,69.00,68.50,69.00,10800,0.00
5-Sep-69,70.50,70.87,69.50,69.50,8300,0.00
4-Sep-69,72.00,72.00,70.50,70.50,14500,0.00
3-Sep-69,72.00,72.50,72.00,72.00,35900,0.00
